perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
Coca-Cola Brasil,Mon Jun 29 15:42:54 +0000 2020,"@catiamms Ah não ... cá estamos para matar essa vontade, temos uma boa pra você Cátia 🍔 Clique aqui 👉 https://t.co/n2rl6icrCp e use o cupom 15COCACOLA pque você vai ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi . Tem certeza que vai ficar só olhando? 👀 https://t.co/8TbvPwuDEg",reply,sim,animated_gif,0,0,1,3,1,https://www.twitter.com/CocaCola_Br/status/1277628619007971329
Coca-Cola Brasil,Mon Jun 29 15:42:39 +0000 2020,"@paulofala Que tal matar essa saudade da melhor forma, Paulo? Só acessar o link: https://t.co/1O6cASke6m e aproveitar 40% OFF em 4 McOfertas Média + 20 Chicken McNuggets. + Coca-Cola. Delícia, né? https://t.co/afhgmZNOZH",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628554465902594
Coca-Cola Brasil,Mon Jun 29 15:42:11 +0000 2020,"@thiagolop3s A gente te entende, thi!😄 E pra você fazer aquele almoção gostoso hoje que tal duas McOfertas com R$ 15 off? É só pedir aqui 👉https://t.co/n2rl6icrCp e aplicar o cupom 15COCACOLA no primeiro pedido! 😋🍔 https://t.co/udBS7tBs3o",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628438032113665
Coca-Cola Brasil,Mon Jun 29 15:41:50 +0000 2020,@HAOaein Bora matar essa fome aí?! A gente dá aquele empurrãozinho... é só pedir pelo Ifood 2 Clássicos + McFritas + Bebida que sai com 40% de desconto no McDonalds. Corre lá ?? https://t.co/1O6cASke6m 😁 https://t.co/za2rCwoZPq,reply,sim,animated_gif,0,1,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277628349536501760
Coca-Cola Brasil,Mon Jun 29 15:41:45 +0000 2020,"@tatisantosp Que tal uma ajudinha, Tati? 😋Vamos garantir aquele almoço TOP na companhia do Spoleto? Corre aqui no link https://t.co/BtlHE7acfu, combine sua massa com seus ingredientes favoritos e ganhe até 30% OFF no Delivery. ❤ https://t.co/OwSOmGulKU",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628328845983746
Coca-Cola Brasil,Mon Jun 29 15:41:17 +0000 2020,"@byhobii Vamos matar essa fome aí, se liga: https://t.co/n2rl6icrCp e use o cupom 15COCACOLA para ganhar R$ 15,00 de desconto em duas McOfertas no seu primeiro pedido na Rappi! https://t.co/rHaw50ZTTP",reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628211975905281
Coca-Cola Brasil,Mon Jun 29 15:41:13 +0000 2020,@Geovanarodrii É Hambúrguer que você quer? Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas!💓 https://t.co/Yn39xcKma8,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628193386741762
Coca-Cola Brasil,Mon Jun 29 15:40:38 +0000 2020,@D_manuzinha @DiogoS_T A gente te entende manuzinha! E pra você fazer aquele almoção gostoso hoje que tal duas McOfertas com R$ 15 off? É só pedir aqui 👉https://t.co/n2rl6icrCp e aplicar o cupom 15COCACOLA no primeiro pedido! 😋🍔 https://t.co/5UdslxrWk7,reply,sim,animated_gif,0,1,0,0,0.25,https://www.twitter.com/CocaCola_Br/status/1277628049002049544
Coca-Cola Brasil,Mon Jun 29 15:40:30 +0000 2020,@jessnevile A gente não pode deixar isso acontecer!🤗Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas!❤ https://t.co/oKtgci4P2o,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277628014734520320
Coca-Cola Brasil,Mon Jun 29 15:40:23 +0000 2020,@claramedeiiroos A gente te entende! E pra você fazer aquele almoção gostoso hoje que tal duas McOfertas com R$ 15 off? É só pedir aqui: https://t.co/n2rl6icrCp e aplicar o cupom 15COCACOLA no primeiro pedido! https://t.co/9TLn3lRKhj,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277627985961631744
Coca-Cola Brasil,Mon Jun 29 15:40:13 +0000 2020,"@sovimcuriar1 A gente te entende, Ester! Quando a fome apertar é só entrar nesse link https://t.co/kcCsP58KhJ pra ver os descontos que estão disponíveis na sua região! 😋 https://t.co/k88Fu7i41X",reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/CocaCola_Br/status/1277627943423021061
Coca-Cola Brasil,Mon Jun 29 15:39:42 +0000 2020,@miicbatista Chegamos nesse rolê pra te ajudar! 😋😁 Clique aqui 👉 https://t.co/n2rl6icrCp Rappi + Mc Donalds - 15 reais desconto em duas McOfertas! https://t.co/oNkXRlnOSr,reply,sim,animated_gif,0,0,0,0,0,https://www.twitter.com/CocaCola_Br/status/1277627811289870336
